lsoa_code,intercept,curio_canopy_percentage,Population Density;Persons per hectare;2012,owner_occupied
E01000293,7.383772783960341,-0.01347813007015225,-0.0053272487061050726,-0.03161998606023561
E01000294,7.349658680545748,-0.012333687089783305,-0.00494376866131931,-0.03149577404298789
E01000295,7.2324680225989715,-0.022945123949422677,-0.0055386389223333575,-0.03142472507482836
E01000296,7.403537682022469,-0.025337682224108166,-0.005925701225301016,-0.0330282752840726
E01000297,7.092274598025082,-0.02113039065978024,-0.005288863377892186,-0.029719420352476687
E01000298,7.416119091178407,-0.027122640822916044,-0.005739437303333931,-0.03223357118330254
E01000299,7.915427218896117,-0.03855319320600291,-0.0074160013958740655,-0.032457092169068995
E01000300,8.066814242452926,-0.04194356491982175,-0.00819733979164862,-0.03325270919104025
E01000301,7.937563977656573,-0.03832039671141954,-0.007666889484732102,-0.03390702088167414
E01000302,7.838296710293939,-0.03661073476790936,-0.0070017057952291555,-0.03329189334502186
E01000303,7.7117300873551375,-0.0322853468860505,-0.0069813094859063575,-0.03376538037990681
E01000304,7.544647461502512,-0.02711064134745542,-0.006705492898987512,-0.033757399342657236
E01000305,6.78578290943831,-0.0181405175262639,-0.006719491995503291,-0.017775504382550524
E01000306,7.061181489592134,-0.022388202527568537,-0.008106484382388066,-0.020664667801425403
E01000307,7.253259521395658,-0.024307425795804128,-0.00837708118498953,-0.02328101949223459
E01000308,6.657462241095454,-0.016009565525654804,-0.006173958620135317,-0.01706518926385211
E01000309,7.083294033370885,-0.022437934516036054,-0.007914093393997271,-0.022178269827150862
E01000310,7.506634112911987,-0.02501463004446739,-0.009556622335637945,-0.027673735803650228
E01000311,7.647607010308944,-0.01997510798594923,-0.009808983184651975,-0.03328321872960055
E01000312,6.456647318401685,-0.01291769821298238,-0.005045853098059638,-0.015891604172460376
E01000313,6.795495906328305,-0.01828774871886266,-0.0069311850555265056,-0.018214875039589126
E01000314,7.3177338000490355,-0.02509041820912566,-0.008889114953225315,-0.024563527381646046
E01000315,7.331678696805184,-0.02706748965965813,-0.006231617232548097,-0.026872066215703202
E01000316,7.392992219976118,-0.02735289013606693,-0.0059101474007340485,-0.03039193808943608
E01000317,7.663259681081668,-0.03287581289950784,-0.006365200612923456,-0.03252770654136457
E01000318,7.619009812790456,-0.032261843236036786,-0.006415967044099146,-0.030656605031454398
E01000319,7.2866237027748255,-0.025115208547714585,-0.005570012766445547,-0.03049215777256535
E01000320,7.7197695390783325,-0.0353157379922262,-0.006658324357021688,-0.030083123378542083
E01000321,8.016985595696958,-0.04170860050532092,-0.00796716657718365,-0.03172889850362737
E01000322,7.624579900711284,-0.03298039697644905,-0.006340855043229799,-0.02977386067690412
E01000323,7.773095253705007,-0.035609957343292815,-0.006900000479204788,-0.031295539773831496
E01000324,7.268349098177868,-0.0263409349234324,-0.005621318408276834,-0.026275819012016217
E01000325,7.455854182067197,-0.01442912557564059,-0.00770578187917817,-0.02959107090146128
E01000326,6.993580516625802,-0.00688759733385068,-0.005063794608606049,-0.026426864888059655
E01000327,8.33780828385057,-0.024721163418417614,-0.012244295553261404,-0.036245841284335015
